"","Year","Ceremony","Category","Nominee","Additional.Info","Won.Academy.Award","Film","Artist","Film.ID"
"139","2009","2009 (82nd)","Actor -- Leading Role","Morgan Freeman","Invictus {'Nelson Mandela'}","NO","Invictus","Morgan Freeman","Invictus (2009)"
"140","2009","2009 (82nd)","Actor -- Leading Role","Jeremy Renner","The Hurt Locker {'Staff Sergeant William James'}","NO","The Hurt Locker","Jeremy Renner","The Hurt Locker (2009)"
"141","2009","2009 (82nd)","Actor -- Supporting Role","Matt Damon","Invictus {'Francois Pienaar'}","NO","Invictus","Matt Damon","Invictus (2009)"
"142","2009","2009 (82nd)","Actor -- Supporting Role","Woody Harrelson","The Messenger {'Captain Tony Stone'}","NO","The Messenger","Woody Harrelson","The Messenger (2009)"
"143","2009","2009 (82nd)","Actor -- Supporting Role","Christopher Plummer","The Last Station {'Tolstoy'}","NO","The Last Station","Christopher Plummer","The Last Station (2009)"
"144","2009","2009 (82nd)","Actor -- Supporting Role","Stanley Tucci","The Lovely Bones {'George Harvey'}","NO","The Lovely Bones","Stanley Tucci","The Lovely Bones (2009)"
"145","2009","2009 (82nd)","Actor -- Supporting Role","Christoph Waltz","Inglourious Basterds {'Col. Hans Landa'}","YES","Inglourious Basterds","Christoph Waltz","Inglourious Basterds (2009)"
"146","2009","2009 (82nd)","Actress -- Leading Role","Sandra Bullock","The Blind Side {'Leigh Anne Tuohy'}","YES","The Blind Side","Sandra Bullock","The Blind Side (2009)"
"147","2009","2009 (82nd)","Actress -- Leading Role","Helen Mirren","The Last Station {'Sofya'}","NO","The Last Station","Helen Mirren","The Last Station (2009)"
"148","2009","2009 (82nd)","Actress -- Leading Role","Carey Mulligan","An Education {'Jenny'}","NO","An Education","Carey Mulligan","An Education (2009)"
"149","2009","2009 (82nd)","Actress -- Leading Role","Gabourey Sidibe","Precious: Based on the Novel 'Push' by Sapphire {'Precious'}","NO","Precious: Based on the Novel 'Push' by Sapphire","Gabourey Sidibe","Precious: Based on the Novel 'Push' by Sapphire (2009)"
